timestamp,event_id,description,computer,account_name,severity,logon_type
2025-08-03 00:40:20,4688,A new process has been created,DC01,shreya,Information,
2025-07-25 16:45:20,4725,A user account was disabled,WEB01,admin,Critical,
2025-08-02 09:00:20,4648,A logon was attempted using explicit credentials,SRV01,svc-backup,Warning,Network
2025-07-24 12:59:20,4625,An account failed to log on,DC01,svc-backup,Warning,Unlock
2025-07-25 04:56:20,4648,A logon was attempted using explicit credentials,WEB01,guest,Information,Interactive
2025-08-02 22:01:20,5156,The Windows Filtering Platform has permitted a connection,WEB01,svc-backup,Error,
2025-07-31 16:07:20,4697,A service was installed in the system,DC01,svc-backup,Error,
2025-07-25 14:14:20,4625,An account failed to log on,SRV01,arnab,Information,RemoteInteractive
2025-07-28 04:48:20,4648,A logon was attempted using explicit credentials,APP01,svc-web,Warning,Unlock
2025-08-02 10:09:20,5156,The Windows Filtering Platform has permitted a connection,SRV01,svc-web,Warning,
2025-07-26 19:23:20,4625,An account failed to log on,EXCH01,svc-web,Critical,Interactive
2025-07-24 07:00:20,4688,A new process has been created,FILE01,svc-backup,Critical,
2025-08-03 14:27:20,4697,A service was installed in the system,SRV01,svc-web,Critical,
2025-07-27 10:13:20,4697,A service was installed in the system,FILE01,arnab,Warning,
2025-08-01 20:44:20,5156,The Windows Filtering Platform has permitted a connection,SRV01,shreya,Warning,
2025-08-03 06:11:20,1102,The audit log was cleared,FILE01,svc-backup,Warning,
2025-07-31 18:51:20,4624,An account was successfully logged on,APP01,arnab,Information,RemoteInteractive
2025-07-31 19:03:20,4625,An account failed to log on,WEB01,svc-backup,Warning,Unlock
2025-07-30 22:27:20,4720,A user account was created,DC01,admin,Error,
2025-07-31 11:45:20,4625,An account failed to log on,FILE01,admin,Warning,RemoteInteractive
2025-07-23 06:53:20,4648,A logon was attempted using explicit credentials,DC01,guest,Warning,Service
2025-08-03 06:50:20,4688,A new process has been created,FILE01,svc-backup,Critical,
2025-07-26 08:28:20,4697,A service was installed in the system,EXCH01,svc-backup,Information,
2025-07-24 09:01:20,4625,An account failed to log on,WEB01,arnab,Warning,Batch
2025-07-31 23:03:20,4688,A new process has been created,APP01,arnab,Information,
2025-07-25 15:27:20,1102,The audit log was cleared,DC01,arnab,Information,
2025-08-04 06:13:20,4625,An account failed to log on,APP01,guest,Warning,Network
2025-07-24 08:15:20,4722,A user account was enabled,EXCH01,arnab,Error,
2025-08-03 10:13:20,4722,A user account was enabled,EXCH01,shreya,Critical,
2025-07-24 16:54:20,4722,A user account was enabled,EXCH01,svc-web,Warning,
2025-08-01 17:56:20,4648,A logon was attempted using explicit credentials,DC01,svc-web,Warning,Batch
2025-07-30 05:49:20,4688,A new process has been created,DC01,admin,Warning,
2025-07-29 05:59:20,5156,The Windows Filtering Platform has permitted a connection,DC01,svc-backup,Warning,
2025-07-22 19:17:20,4720,A user account was created,SRV01,guest,Information,
2025-08-02 09:59:20,1102,The audit log was cleared,DC01,guest,Information,
2025-07-29 05:55:20,4648,A logon was attempted using explicit credentials,EXCH01,svc-web,Information,Network
2025-07-30 09:34:20,4625,An account failed to log on,EXCH01,arnab,Error,Network
2025-07-26 08:31:20,4725,A user account was disabled,SRV01,guest,Warning,
2025-08-02 21:57:20,4720,A user account was created,WEB01,svc-web,Warning,
2025-07-26 00:25:20,4648,A logon was attempted using explicit credentials,EXCH01,shreya,Error,Service
2025-08-01 11:19:20,1102,The audit log was cleared,EXCH01,guest,Error,
2025-07-28 21:50:20,4725,A user account was disabled,WEB01,admin,Error,
2025-08-04 07:28:20,5156,The Windows Filtering Platform has permitted a connection,DC01,svc-backup,Critical,
2025-07-26 04:30:20,4725,A user account was disabled,DC01,arnab,Information,
2025-07-28 04:57:20,4624,An account was successfully logged on,EXCH01,shreya,Error,Service
2025-08-01 09:26:20,4624,An account was successfully logged on,EXCH01,guest,Error,Network
2025-07-31 16:14:20,1102,The audit log was cleared,SRV01,shreya,Error,
2025-07-26 10:20:20,5156,The Windows Filtering Platform has permitted a connection,DC01,svc-backup,Critical,
2025-07-24 14:15:20,4722,A user account was enabled,DC01,guest,Critical,
2025-07-30 02:35:20,1102,The audit log was cleared,DC01,guest,Information,
2025-07-29 07:39:20,4648,A logon was attempted using explicit credentials,EXCH01,guest,Warning,Service
2025-07-26 09:17:20,4648,A logon was attempted using explicit credentials,SRV01,shreya,Error,Batch
2025-07-27 04:47:20,1102,The audit log was cleared,FILE01,arnab,Error,
